ID_Recinto,Hora,Dia,Mes,Temperatura_exterior,Temperatura_operativa_free_float,Temperatura_operativa_con_clima,Demanda,Sol,G_HU,G_DHU,x_int_aire,demanda_total
7,1,1.00,1,0.30,0.82,4.21,0.0,0.00,0.0,-0.0,,0.0
7,2,1.00,1,-0.10,0.54,3.69,0.0,0.00,0.0,-0.0,,0.0
7,3,1.00,1,-0.30,0.35,3.28,0.0,0.00,0.0,-0.0,,0.0
7,4,1.00,1,-0.40,0.21,2.94,0.0,0.00,0.0,-0.0,,0.0
7,5,1.00,1,-0.60,0.04,2.58,0.0,0.00,0.0,-0.0,,0.0
7,6,1.00,1,-0.60,-0.04,2.33,0.0,0.00,0.0,-0.0,,0.0
7,7,1.00,1,-0.70,-0.15,2.05,0.0,0.00,0.0,-0.0,,0.0
7,8,1.00,1,-0.80,0.17,17.00,58317.56,0.00,1041.25,0.0,,1840.1231099999998
7,9,1.00,1,-0.90,0.12,17.00,49805.44,0.00,375.95,0.0,,1555.62309
7,10,1.00,1,-1.00,0.05,17.00,48192.51,0.00,350.51,0.0,,1504.83362
7,11,1.00,1,-0.80,0.10,17.00,46296.9,0.00,286.7,0.0,,1444.0916
7,12,1.00,1,0.00,0.46,17.00,43506.43,0.00,146.07,0.0,,1353.2275
7,13,1.00,1,1.30,1.10,17.00,39984.84,0.00,0.0,0.0,,1239.5300399999999
7,14,1.00,1,2.80,1.89,17.00,36257.93,0.00,0.0,0.0,,1123.99583
7,15,1.00,1,4.30,2.73,17.00,32657.97,0.00,0.0,0.0,,1012.3970700000001
7,16,1.00,1,5.40,3.42,17.00,29909.43,0.00,0.0,0.0,,927.19233
7,17,1.00,1,6.00,3.87,17.00,28163.24,0.00,0.0,0.0,,873.0604400000001
7,18,1.00,1,5.90,3.98,17.00,27782.18,0.00,0.0,0.0,,861.24758
7,19,1.00,1,5.30,3.32,9.45,0.0,0.00,0.0,-0.0,,0.0
7,20,1.00,1,4.60,2.99,8.01,0.0,0.00,0.0,-0.0,,0.0
7,21,1.00,1,3.80,2.62,7.21,0.0,0.00,0.0,-0.0,,0.0
7,22,1.00,1,2.90,2.18,6.43,0.0,0.00,0.0,-0.0,,0.0
7,23,1.00,1,2.00,1.72,5.67,0.0,0.00,0.0,-0.0,,0.0
7,24,1.00,1,1.50,1.41,5.09,0.0,0.00,0.0,-0.0,,0.0
7,1,2.00,1,1.30,1.26,4.68,0.0,0.00,0.0,-0.0,,0.0
7,2,2.00,1,1.00,1.07,4.25,0.0,0.00,0.0,-0.0,,0.0
7,3,2.00,1,0.60,0.82,3.78,0.0,0.00,0.0,-0.0,,0.0
7,4,2.00,1,0.20,0.57,3.32,0.0,0.00,0.0,-0.0,,0.0
7,5,2.00,1,-0.20,0.31,2.87,0.0,0.00,0.0,-0.0,,0.0
7,6,2.00,1,-0.40,0.13,2.52,0.0,0.00,0.0,-0.0,,0.0
7,7,2.00,1,-0.50,0.01,2.23,0.0,0.00,0.0,-0.0,,0.0
