Nombre_Archivo,Nro_Filas,Radiacion Global Horizontal[label: GHI] [W/m2],Radiacion Directa Normal[label: DNI] [W/m2],Radiacion Difusa[label: DIF] [W/m2],Temperatura en 2 metros (Corejida)[label: Temp] [C]
chl_alto_del_carmen_huasco_11_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_alto_hospicio_iquique_11_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_andacollo_elqui_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_antofagasta_antofagasta_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_arica_arica_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_calama_el_loa_11_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_caldera_copiapó_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_camarones_arica_11_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_camiña_tamarugal_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_chañaral_chañaral_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_copiapó_copiapó_11_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_diego_de_almagro_chañaral_11_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_freirina_huasco_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_huara_tamarugal_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_illapel_choapa_11_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_iquique_iquique_11_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_la_cisterna_santiago_05_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_la_higuera_elqui_11_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_la_serena_elqui_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_maría_elena_tocopilla_11_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_mejillones_antofagasta_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_monte_patria_limarí_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_taltal_antofagasta_18_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
chl_tocopilla_tocopilla_11_09_2025.processed.parquet,8760,Sí,Sí,Sí,Sí
col_arauca_arauca_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_arjona_bolívar_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_armenia_quindío_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_barranquilla_atlántico_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
"col_bogotá,_d.c._bogotá,_d.c._19_09_2025.processed.parquet",8760,Sí,No,No,Sí
col_bucaramanga_santander_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_cali_valle_del_cauca_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_cúcuta_norte_de_santander_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_florencia_caquetá_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_ibagué_tolima_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_inírida_guainía_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_leticia_amazonas_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_manizales_caldas_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_medellín_antioquia_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_mitú_vaupés_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
col_mocoa_putumayo_19_09_2025.processed.parquet,8760,Sí,No,No,Sí
